SKU,Sale Date,Quantity,Revenue
FUSE-001,2025-03-21,877,2986.31
FUSE-001,2025-04-27,950,3332.16
FUSE-001,2025-05-17,887,3051.36
FUSE-001,2025-06-03,936,3262.96
FUSE-001,2025-07-14,952,3243.86
FUSE-001,2025-08-19,937,3205.48
FUSE-001,2025-09-02,946,3326.32
FUSE-001,2025-10-13,1057,3599.52
FUSE-001,2025-11-05,953,3293.39
FUSE-001,2025-12-05,1053,3694.5
FUSE-001,2026-01-22,831,2852.78
FUSE-001,2026-02-19,892,3135.34
FUSE-001,2026-03-23,964,3285.49
FUSE-001,2026-04-02,992,3496.79
FUSE-001,2026-05-25,838,2900.29
FUSE-001,2026-06-19,963,3456.13
FUSE-001,2026-07-06,917,3247.82
FUSE-001,2026-08-08,1024,3494.08
FUSE-002,2025-03-11,241,3151.7
FUSE-002,2025-04-10,319,4142.0
FUSE-002,2025-05-06,318,4165.49
FUSE-002,2025-06-05,291,3851.49
FUSE-002,2025-07-03,145,1900.19
FUSE-002,2025-08-19,329,4317.72
FUSE-002,2025-09-12,286,3710.29
FUSE-002,2025-10-19,223,2927.94
FUSE-002,2025-11-09,290,3735.19
FUSE-002,2025-12-22,279,3505.16
FUSE-002,2026-01-19,265,3519.64
FUSE-002,2026-02-27,225,2893.03
FUSE-002,2026-03-12,248,3107.55
FUSE-002,2026-04-15,161,2058.89
FUSE-002,2026-05-07,225,2949.21
FUSE-002,2026-06-05,234,3061.77
FUSE-002,2026-07-16,177,2225.84
FUSE-002,2026-08-15,351,4501.18
BUSB-010,2025-03-14,58,2489.2
BUSB-010,2025-04-09,71,3018.93
BUSB-010,2025-05-13,90,3883.81
BUSB-010,2025-06-05,56,2293.15
BUSB-010,2025-07-01,75,3147.16
BUSB-010,2025-08-19,82,3378.36
BUSB-010,2025-09-18,55,2291.88
BUSB-010,2025-10-19,67,2783.37
BUSB-010,2025-11-20,83,3518.41
BUSB-010,2025-12-24,83,3392.71
BUSB-010,2026-01-22,82,3505.55
BUSB-010,2026-02-13,35,1461.01
BUSB-010,2026-03-13,37,1513.18
BUSB-010,2026-04-03,67,2895.83
BUSB-010,2026-05-20,45,1839.26
BUSB-010,2026-06-01,56,2361.42
BUSB-010,2026-07-20,9,367.24
BUSB-010,2026-08-07,41,1733.79
SURG-005,2025-03-12,156,9103.53
SURG-005,2025-04-16,164,9296.75
SURG-005,2025-05-15,212,12281.54
SURG-005,2025-06-10,53,2997.62
SURG-005,2025-07-09,178,10310.76
SURG-005,2025-08-23,173,9830.17
SURG-005,2025-09-17,249,14322.21
SURG-005,2025-10-23,171,9943.69
SURG-005,2025-11-21,208,12326.99
SURG-005,2025-12-23,171,10123.57
SURG-005,2026-01-12,75,4420.98
SURG-005,2026-02-18,157,9128.71
SURG-005,2026-03-20,110,6499.25
SURG-005,2026-04-25,171,10127.84
SURG-005,2026-05-24,203,11988.28
SURG-005,2026-06-07,101,5864.2
SURG-005,2026-07-01,173,10208.66
SURG-005,2026-08-16,191,10917.93
SURG-006,2025-03-15,33,4335.81
SURG-006,2025-04-24,14,1858.88
SURG-006,2025-05-08,59,7429.32
SURG-006,2025-06-16,44,5572.71
SURG-006,2025-07-20,54,7108.29
SURG-006,2025-08-16,69,9119.54
SURG-006,2025-09-27,38,4949.23
SURG-006,2025-10-13,69,9051.77
SURG-006,2025-11-06,51,6552.92
SURG-006,2025-12-21,34,4341.93
SURG-006,2026-01-13,66,8495.18
SURG-006,2026-02-24,13,1721.96
SURG-006,2026-03-05,53,6643.19
SURG-006,2026-04-19,45,5946.01
SURG-006,2026-05-27,59,7654.78
SURG-006,2026-06-16,48,6250.43
SURG-006,2026-07-05,45,5638.3
SURG-006,2026-08-26,77,10213.64
HOLD-020,2025-03-05,457,2822.15
HOLD-020,2025-04-07,441,2787.71
HOLD-020,2025-05-10,511,3168.42
HOLD-020,2025-06-25,524,3265.65
HOLD-020,2025-07-05,478,2885.52
HOLD-020,2025-08-24,541,3324.77
HOLD-020,2025-09-17,423,2610.11
HOLD-020,2025-10-17,521,3158.64
HOLD-020,2025-11-15,677,4267.04
HOLD-020,2025-12-20,698,4198.79
HOLD-020,2026-01-16,639,3990.11
HOLD-020,2026-02-04,465,2892.77
HOLD-020,2026-03-18,467,2892.36
HOLD-020,2026-04-25,564,3414.16
HOLD-020,2026-05-09,458,2761.6
HOLD-020,2026-06-04,465,2884.33
HOLD-020,2026-07-03,391,2415.95
HOLD-020,2026-08-20,444,2830.98
SWITCH-030,2025-03-09,161,6261.05
SWITCH-030,2025-04-18,166,6593.39
SWITCH-030,2025-05-17,155,6181.57
SWITCH-030,2025-06-09,182,7278.06
SWITCH-030,2025-07-15,204,7782.78
SWITCH-030,2025-08-04,170,6587.18
SWITCH-030,2025-09-14,165,6270.18
SWITCH-030,2025-10-22,240,9249.24
SWITCH-030,2025-11-23,237,9322.56
SWITCH-030,2025-12-12,237,9045.0
SWITCH-030,2026-01-08,267,10567.12
SWITCH-030,2026-02-04,125,4845.24
